Entity,Code,Year,Renewables (% sub energy)
Argentina,ARG,2005,13.991
Argentina,ARG,2006,14.79
Argentina,ARG,2007,12.247
Argentina,ARG,2008,11.832
Argentina,ARG,2009,13.103
Argentina,ARG,2010,13.051
Argentina,ARG,2011,12.836
Argentina,ARG,2012,12.042
Argentina,ARG,2013,12.64
Argentina,ARG,2014,12.892
Argentina,ARG,2015,12.913
Argentina,ARG,2016,11.968
Argentina,ARG,2017,13.138
Argentina,ARG,2018,13.363
Argentina,ARG,2019,13.556
Australia,AUS,1965,5.472
Australia,AUS,1966,4.766
Australia,AUS,1967,4.651
Australia,AUS,1968,4.572
Australia,AUS,1969,4.782
Australia,AUS,1970,5.1
Australia,AUS,1971,5.48
Australia,AUS,1972,5.268
Australia,AUS,1973,5.257
Australia,AUS,1974,5.602
Australia,AUS,1975,5.924
Australia,AUS,1976,5.448
Australia,AUS,1977,4.955
Australia,AUS,1978,5.218
Australia,AUS,1979,4.881
Australia,AUS,1980,4.58
Australia,AUS,1981,4.68
Australia,AUS,1982,4.36
Australia,AUS,1983,4.111
Australia,AUS,1984,4.257
Australia,AUS,1985,4.482
Australia,AUS,1986,4.363
Australia,AUS,1987,4.131
Australia,AUS,1988,4.223
Australia,AUS,1989,4.028
Australia,AUS,1990,4.078
Australia,AUS,1991,4.331
Australia,AUS,1992,4.352
Australia,AUS,1993,4.346
Australia,AUS,1994,4.129
Australia,AUS,1995,3.931
Australia,AUS,1996,3.942
Australia,AUS,1997,3.854
Australia,AUS,1998,3.754
Australia,AUS,1999,3.717
Australia,AUS,2000,3.709
Australia,AUS,2001,3.594
Australia,AUS,2002,3.659
Australia,AUS,2003,3.725
Australia,AUS,2004,3.716
Australia,AUS,2005,3.971
Australia,AUS,2006,3.854
Australia,AUS,2007,3.81
Australia,AUS,2008,3.852
Australia,AUS,2009,4.311
Australia,AUS,2010,5.037
Australia,AUS,2011,6.293
Australia,AUS,2012,6.141
Australia,AUS,2013,6.86
Australia,AUS,2014,6.244
Australia,AUS,2015,6.504
Australia,AUS,2016,7.207
Australia,AUS,2017,6.885
Australia,AUS,2018,8.353
Australia,AUS,2019,8.567
Austria,AUT,1965,23.94
Austria,AUT,1966,24.66
Austria,AUT,1967,24.931
Austria,AUT,1968,23.942
Austria,AUT,1969,21.212
Austria,AUT,1970,23.624
Austria,AUT,1971,18.684
Austria,AUT,1972,18.56
Austria,AUT,1973,19.189
Austria,AUT,1974,22.621
Austria,AUT,1975,23.879
Austria,AUT,1976,19.89
Austria,AUT,1977,24.109
Austria,AUT,1978,23.115
Austria,AUT,1979,24.606
Austria,AUT,1980,25.617
Austria,AUT,1981,28.003
Austria,AUT,1982,29.015
Austria,AUT,1983,28.818
Austria,AUT,1984,25.484
Austria,AUT,1985,27.82
Austria,AUT,1986,28.812
Austria,AUT,1987,30.802
Austria,AUT,1988,31.323
Austria,AUT,1989,31.002
Austria,AUT,1990,27.545
Austria,AUT,1991,26.257
Austria,AUT,1992,29.605
Austria,AUT,1993,30.632
Austria,AUT,1994,29.87
Austria,AUT,1995,30.057
Austria,AUT,1996,27.57
Austria,AUT,1997,28.553
Austria,AUT,1998,29.015
Austria,AUT,1999,30.802
Austria,AUT,2000,31.496
Austria,AUT,2001,29.389
Austria,AUT,2002,28.903
Austria,AUT,2003,23.867
Austria,AUT,2004,26.262
Austria,AUT,2005,26.547
Austria,AUT,2006,27.137
Austria,AUT,2007,29.405
Austria,AUT,2008,29.831
Austria,AUT,2009,32.67
Austria,AUT,2010,29.984
Austria,AUT,2011,29.073
Austria,AUT,2012,34.142
Austria,AUT,2013,33.477
Austria,AUT,2014,34.771
Austria,AUT,2015,33.107
Austria,AUT,2016,33.768
Austria,AUT,2017,32.71
Austria,AUT,2018,32.566
Austria,AUT,2019,33.702
Azerbaijan,AZE,1985,1.555
Azerbaijan,AZE,1986,0.885
Azerbaijan,AZE,1987,0.913
Azerbaijan,AZE,1988,0.792
Azerbaijan,AZE,1989,0.777
Azerbaijan,AZE,1990,1.771
Azerbaijan,AZE,1991,1.956
Azerbaijan,AZE,1992,2.269
Azerbaijan,AZE,1993,3.635
Azerbaijan,AZE,1994,2.983
Azerbaijan,AZE,1995,2.697
Azerbaijan,AZE,1996,3.25
Azerbaijan,AZE,1997,3.781
Azerbaijan,AZE,1998,4.294
Azerbaijan,AZE,1999,3.327
Azerbaijan,AZE,2000,3.246
Azerbaijan,AZE,2001,2.837
Azerbaijan,AZE,2002,4.433
Azerbaijan,AZE,2003,4.979
Azerbaijan,AZE,2004,4.866
Azerbaijan,AZE,2005,4.872
Azerbaijan,AZE,2006,4.117
Azerbaijan,AZE,2007,4.246
Azerbaijan,AZE,2008,3.945
Azerbaijan,AZE,2009,4.594
Azerbaijan,AZE,2010,6.906
Azerbaijan,AZE,2011,4.79
Azerbaijan,AZE,2012,3.145
Azerbaijan,AZE,2013,2.601
Azerbaijan,AZE,2014,2.265
Azerbaijan,AZE,2015,2.571
Azerbaijan,AZE,2016,3.125
Azerbaijan,AZE,2017,2.845
Azerbaijan,AZE,2018,2.865
Azerbaijan,AZE,2019,2.48
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,3.06
Bangladesh,BGD,1973,4.686
Bangladesh,BGD,1974,3.329
Bangladesh,BGD,1975,5.262
Bangladesh,BGD,1976,5.196
Bangladesh,BGD,1977,4.478
Bangladesh,BGD,1978,4.811
Bangladesh,BGD,1979,5.039
Bangladesh,BGD,1980,4.44
Bangladesh,BGD,1981,4.727
Bangladesh,BGD,1982,3.583
Bangladesh,BGD,1983,4.589
Bangladesh,BGD,1984,5.757
Bangladesh,BGD,1985,4.264
Bangladesh,BGD,1986,2.383
Bangladesh,BGD,1987,2.481
Bangladesh,BGD,1988,2.909
Bangladesh,BGD,1989,3.68
Bangladesh,BGD,1990,3.332
Bangladesh,BGD,1991,3.274
Bangladesh,BGD,1992,2.851
Bangladesh,BGD,1993,1.979
Bangladesh,BGD,1994,2.599
Bangladesh,BGD,1995,0.965
Bangladesh,BGD,1996,1.832
Bangladesh,BGD,1997,1.696
Bangladesh,BGD,1998,1.916
Bangladesh,BGD,1999,1.824
Bangladesh,BGD,2000,1.53
Bangladesh,BGD,2001,1.763
Bangladesh,BGD,2002,1.281
Bangladesh,BGD,2003,1.202
Bangladesh,BGD,2004,1.156
Bangladesh,BGD,2005,1.067
Bangladesh,BGD,2006,0.984
Bangladesh,BGD,2007,0.959
Bangladesh,BGD,2008,1.149
Bangladesh,BGD,2009,0.481
Bangladesh,BGD,2010,0.813
Bangladesh,BGD,2011,0.894
Bangladesh,BGD,2012,0.775
Bangladesh,BGD,2013,0.74
Bangladesh,BGD,2014,0.605
Bangladesh,BGD,2015,0.762
Bangladesh,BGD,2016,0.748
Bangladesh,BGD,2017,0.851
Bangladesh,BGD,2018,0.71
Bangladesh,BGD,2019,0.637
Belarus,BLR,1985,0.014
Belarus,BLR,1986,0.012
Belarus,BLR,1987,0.012
Belarus,BLR,1988,0.012
Belarus,BLR,1989,0.012
Belarus,BLR,1990,0.012
Belarus,BLR,1991,0.011
Belarus,BLR,1992,0.011
Belarus,BLR,1993,0.016
Belarus,BLR,1994,0.019
Belarus,BLR,1995,0.022
Belarus,BLR,1996,0.017
Belarus,BLR,1997,0.022
Belarus,BLR,1998,0.03
Belarus,BLR,1999,0.021
Belarus,BLR,2000,0.029
Belarus,BLR,2001,0.033
Belarus,BLR,2002,0.031
Belarus,BLR,2003,0.03
Belarus,BLR,2004,0.032
Belarus,BLR,2005,0.035
Belarus,BLR,2006,0.033
Belarus,BLR,2007,0.045
Belarus,BLR,2008,0.064
Belarus,BLR,2009,0.098
Belarus,BLR,2010,0.112
Belarus,BLR,2011,0.121
Belarus,BLR,2012,0.137
Belarus,BLR,2013,0.204
Belarus,BLR,2014,0.181
Belarus,BLR,2015,0.238
Belarus,BLR,2016,0.315
Belarus,BLR,2017,0.638
Belarus,BLR,2018,0.555
Belarus,BLR,2019,0.56
Belgium,BEL,1965,0.183
Belgium,BEL,1966,0.209
Belgium,BEL,1967,0.158
Belgium,BEL,1968,0.146
Belgium,BEL,1969,0.125
Belgium,BEL,1970,0.127
Belgium,BEL,1971,0.07
Belgium,BEL,1972,0.089
Belgium,BEL,1973,0.14
Belgium,BEL,1974,0.176
Belgium,BEL,1975,0.143
Belgium,BEL,1976,0.084
Belgium,BEL,1977,0.238
Belgium,BEL,1978,0.234
Belgium,BEL,1979,0.258
Belgium,BEL,1980,0.284
Belgium,BEL,1981,0.347
Belgium,BEL,1982,0.205
Belgium,BEL,1983,0.2
Belgium,BEL,1984,0.2
Belgium,BEL,1985,0.174
Belgium,BEL,1986,0.229
Belgium,BEL,1987,0.278
Belgium,BEL,1988,0.259
Belgium,BEL,1989,0.236
Belgium,BEL,1990,0.246
Belgium,BEL,1991,0.229
Belgium,BEL,1992,0.265
Belgium,BEL,1993,0.221
Belgium,BEL,1994,0.248
Belgium,BEL,1995,0.274
Belgium,BEL,1996,0.216
Belgium,BEL,1997,0.225
Belgium,BEL,1998,0.284
Belgium,BEL,1999,0.321
Belgium,BEL,2000,0.386
Belgium,BEL,2001,0.398
Belgium,BEL,2002,0.42
Belgium,BEL,2003,0.421
Belgium,BEL,2004,0.524
Belgium,BEL,2005,0.741
Belgium,BEL,2006,1.03
Belgium,BEL,2007,1.201
Belgium,BEL,2008,1.487
Belgium,BEL,2009,2.157
Belgium,BEL,2010,2.705
Belgium,BEL,2011,3.553
Belgium,BEL,2012,4.438
Belgium,BEL,2013,4.732
Belgium,BEL,2014,5.397
Belgium,BEL,2015,5.865
Belgium,BEL,2016,5.642
Belgium,BEL,2017,6.121
Belgium,BEL,2018,6.689
Belgium,BEL,2019,6.937
Brazil,BRA,1965,26.319
Brazil,BRA,1966,26.386
Brazil,BRA,1967,26.641
Brazil,BRA,1968,24.385
Brazil,BRA,1969,23.901
Brazil,BRA,1970,25.423
Brazil,BRA,1971,25.274
Brazil,BRA,1972,25.726
Brazil,BRA,1973,24.618
Brazil,BRA,1974,25.542
Brazil,BRA,1975,26.609
Brazil,BRA,1976,27.747
Brazil,BRA,1977,29.318
Brazil,BRA,1978,29.268
Brazil,BRA,1979,30.743
Brazil,BRA,1980,33.278
Brazil,BRA,1981,34.638
Brazil,BRA,1982,35.656
Brazil,BRA,1983,37.685
Brazil,BRA,1984,38.505
Brazil,BRA,1985,38.72
Brazil,BRA,1986,37.149
Brazil,BRA,1987,36.762
Brazil,BRA,1988,37.893
Brazil,BRA,1989,38.184
Brazil,BRA,1990,43.859
Brazil,BRA,1991,44.44
Brazil,BRA,1992,43.476
Brazil,BRA,1993,43.727
Brazil,BRA,1994,43.138
Brazil,BRA,1995,42.923
Brazil,BRA,1996,42.655
Brazil,BRA,1997,42.06
Brazil,BRA,1998,42.135
Brazil,BRA,1999,41.706
Brazil,BRA,2000,41.859
Brazil,BRA,2001,37.819
Brazil,BRA,2002,39.48
Brazil,BRA,2003,40.939
Brazil,BRA,2004,40.915
Brazil,BRA,2005,41.76
Brazil,BRA,2006,41.636
Brazil,BRA,2007,42.989
Brazil,BRA,2008,42.015
Brazil,BRA,2009,44.945
Brazil,BRA,2010,42.868
Brazil,BRA,2011,42.45
Brazil,BRA,2012,40.629
Brazil,BRA,2013,38.35
Brazil,BRA,2014,37.398
Brazil,BRA,2015,38.632
Brazil,BRA,2016,41.467
Brazil,BRA,2017,41.15
Brazil,BRA,2018,43.79
Brazil,BRA,2019,45.017
Bulgaria,BGR,1965,4.646
Bulgaria,BGR,1966,4.355
Bulgaria,BGR,1967,3.77
Bulgaria,BGR,1968,2.175
Bulgaria,BGR,1969,2.75
Bulgaria,BGR,1970,2.861
Bulgaria,BGR,1971,2.77
Bulgaria,BGR,1972,2.599
Bulgaria,BGR,1973,3.069
Bulgaria,BGR,1974,2.411
Bulgaria,BGR,1975,2.574
Bulgaria,BGR,1976,2.929
Bulgaria,BGR,1977,3.321
Bulgaria,BGR,1978,2.643
Bulgaria,BGR,1979,2.899
Bulgaria,BGR,1980,3.079
Bulgaria,BGR,1981,3.047
Bulgaria,BGR,1982,2.507
Bulgaria,BGR,1983,2.739
Bulgaria,BGR,1984,2.678
Bulgaria,BGR,1985,1.851
Bulgaria,BGR,1986,1.886
Bulgaria,BGR,1987,2.042
Bulgaria,BGR,1988,2.043
Bulgaria,BGR,1989,2.136
Bulgaria,BGR,1990,1.616
Bulgaria,BGR,1991,2.587
Bulgaria,BGR,1992,2.329
Bulgaria,BGR,1993,2.063
Bulgaria,BGR,1994,1.62
Bulgaria,BGR,1995,2.38
Bulgaria,BGR,1996,3.003
Bulgaria,BGR,1997,3
Bulgaria,BGR,1998,3.511
Bulgaria,BGR,1999,3.566
Bulgaria,BGR,2000,3.442
Bulgaria,BGR,2001,2.132
Bulgaria,BGR,2002,2.753
Bulgaria,BGR,2003,3.667
Bulgaria,BGR,2004,3.934
Bulgaria,BGR,2005,4.956
Bulgaria,BGR,2006,4.715
Bulgaria,BGR,2007,3.318
Bulgaria,BGR,2008,3.399
Bulgaria,BGR,2009,4.831
Bulgaria,BGR,2010,7.188
Bulgaria,BGR,2011,4.566
Bulgaria,BGR,2012,6.465
Bulgaria,BGR,2013,9.036
Bulgaria,BGR,2014,9.003
Bulgaria,BGR,2015,9.977
Bulgaria,BGR,2016,8.492
Bulgaria,BGR,2017,7.126
Bulgaria,BGR,2018,10.771
Bulgaria,BGR,2019,9.203
Canada,CAN,1965,23.981
Canada,CAN,1966,25.004
Canada,CAN,1967,24.438
Canada,CAN,1968,23.338
Canada,CAN,1969,24.352
Canada,CAN,1970,23.871
Canada,CAN,1971,23.779
Canada,CAN,1972,24.717
Canada,CAN,1973,24.773
Canada,CAN,1974,26.01
Canada,CAN,1975,25.448
Canada,CAN,1976,25.284
Canada,CAN,1977,24.755
Canada,CAN,1978,26.108
Canada,CAN,1979,26.318
Canada,CAN,1980,26.523
Canada,CAN,1981,28.474
Canada,CAN,1982,28.593
Canada,CAN,1983,29.687
Canada,CAN,1984,30
Canada,CAN,1985,30.775
Canada,CAN,1986,31.419
Canada,CAN,1987,30.959
Canada,CAN,1988,28.942
Canada,CAN,1989,27.177
Canada,CAN,1990,28.217
Canada,CAN,1991,29.252
Canada,CAN,1992,29.314
Canada,CAN,1993,29.338
Canada,CAN,1994,28.856
Canada,CAN,1995,28.898
Canada,CAN,1996,29.843
Canada,CAN,1997,29.184
Canada,CAN,1998,28.184
Canada,CAN,1999,28.454
Canada,CAN,2000,28.572
Canada,CAN,2001,27.152
Canada,CAN,2002,27.567
Canada,CAN,2003,26.248
Canada,CAN,2004,25.99
Canada,CAN,2005,27.285
Canada,CAN,2006,26.991
Canada,CAN,2007,27.025
Canada,CAN,2008,27.706
Canada,CAN,2009,28.774
Canada,CAN,2010,27.021
Canada,CAN,2011,27.608
Canada,CAN,2012,28.251
Canada,CAN,2013,28.109
Canada,CAN,2014,27.136
Canada,CAN,2015,28.001
Canada,CAN,2016,28.541
Canada,CAN,2017,28.657
Canada,CAN,2018,27.569
Canada,CAN,2019,27.638
Chile,CHL,1965,15.188
Chile,CHL,1966,14.933
Chile,CHL,1967,14.953
Chile,CHL,1968,12.559
Chile,CHL,1969,13.163
Chile,CHL,1970,13.348
Chile,CHL,1971,13.976
Chile,CHL,1972,16.069
Chile,CHL,1973,16.302
Chile,CHL,1974,18.711
Chile,CHL,1975,20.872
Chile,CHL,1976,20.57
Chile,CHL,1977,20.955
Chile,CHL,1978,20.615
Chile,CHL,1979,20.492
Chile,CHL,1980,20.987
Chile,CHL,1981,21.182
Chile,CHL,1982,25.364
Chile,CHL,1983,26.791
Chile,CHL,1984,26.531
Chile,CHL,1985,28.964
Chile,CHL,1986,29.801
Chile,CHL,1987,30.713
Chile,CHL,1988,27.069
Chile,CHL,1989,20.687
Chile,CHL,1990,17.902
Chile,CHL,1991,22.858
Chile,CHL,1992,26.955
Chile,CHL,1993,26.158
Chile,CHL,1994,24.631
Chile,CHL,1995,24.706
Chile,CHL,1996,21.354
Chile,CHL,1997,20.749
Chile,CHL,1998,17.076
Chile,CHL,1999,14.39
Chile,CHL,2000,18.527
Chile,CHL,2001,20.889
Chile,CHL,2002,21.43
Chile,CHL,2003,20.841
Chile,CHL,2004,18.651
Chile,CHL,2005,21.221
Chile,CHL,2006,21.394
Chile,CHL,2007,17.573
Chile,CHL,2008,19.625
Chile,CHL,2009,20.457
Chile,CHL,2010,18.015
Chile,CHL,2011,16.253
Chile,CHL,2012,16.677
Chile,CHL,2013,16.909
Chile,CHL,2014,18.754
Chile,CHL,2015,19.894
Chile,CHL,2016,18.129
Chile,CHL,2017,20.678
Chile,CHL,2018,22.214
Chile,CHL,2019,22.851
China,CHN,1965,4.006
China,CHN,1966,3.751
China,CHN,1967,3.595
China,CHN,1968,4.2
China,CHN,1969,3.509
China,CHN,1970,2.832
China,CHN,1971,2.89
China,CHN,1972,3.038
China,CHN,1973,3.217
China,CHN,1974,3.53
China,CHN,1975,3.298
China,CHN,1976,3.175
China,CHN,1977,3.039
China,CHN,1978,2.597
China,CHN,1979,2.832
China,CHN,1980,3.33
China,CHN,1981,3.798
China,CHN,1982,4.132
China,CHN,1983,4.509
China,CHN,1984,4.221
China,CHN,1985,4.154
China,CHN,1986,4.056
China,CHN,1987,3.979
China,CHN,1988,4.043
China,CHN,1989,4.179
China,CHN,1990,4.418
China,CHN,1991,4.138
China,CHN,1992,4.124
China,CHN,1993,4.451
China,CHN,1994,4.637
China,CHN,1995,5.192
China,CHN,1996,4.818
China,CHN,1997,5.025
China,CHN,1998,5.089
China,CHN,1999,4.865
China,CHN,2000,5.313
China,CHN,2001,6.22
China,CHN,2002,5.892
China,CHN,2003,4.964
China,CHN,2004,5.264
China,CHN,2005,5.219
China,CHN,2006,5.232
China,CHN,2007,5.369
China,CHN,2008,6.827
China,CHN,2009,6.5
China,CHN,2010,7.14
China,CHN,2011,6.636
China,CHN,2012,7.994
China,CHN,2013,8.387
China,CHN,2014,9.619
China,CHN,2015,10.188
China,CHN,2016,10.934
China,CHN,2017,11.542
China,CHN,2018,12.176
China,CHN,2019,12.665
Colombia,COL,1965,11.153
Colombia,COL,1966,11.372
Colombia,COL,1967,11.908
Colombia,COL,1968,12.596
Colombia,COL,1969,13.767
Colombia,COL,1970,14.046
Colombia,COL,1971,15.166
Colombia,COL,1972,14.955
Colombia,COL,1973,16.299
Colombia,COL,1974,16.515
Colombia,COL,1975,18.26
Colombia,COL,1976,18.425
Colombia,COL,1977,18.388
Colombia,COL,1978,19.828
Colombia,COL,1979,20.486
Colombia,COL,1980,21.934
Colombia,COL,1981,21.138
Colombia,COL,1982,21.599
Colombia,COL,1983,20.724
Colombia,COL,1984,22.51
Colombia,COL,1985,23.286
Colombia,COL,1986,26.035
Colombia,COL,1987,26.07
Colombia,COL,1988,27.467
Colombia,COL,1989,28.487
Colombia,COL,1990,31.265
Colombia,COL,1991,30.346
Colombia,COL,1992,23.443
Colombia,COL,1993,26.587
Colombia,COL,1994,28.496
Colombia,COL,1995,28.029
Colombia,COL,1996,30.12
Colombia,COL,1997,26.136
Colombia,COL,1998,25.46
Colombia,COL,1999,30.026
Colombia,COL,2000,28.246
Colombia,COL,2001,29.265
Colombia,COL,2002,31.303
Colombia,COL,2003,31.974
Colombia,COL,2004,33.075
Colombia,COL,2005,33.583
Colombia,COL,2006,32.301
Colombia,COL,2007,33.22
Colombia,COL,2008,31.887
Colombia,COL,2009,29.811
Colombia,COL,2010,27.582
Colombia,COL,2011,31.337
Colombia,COL,2012,28.681
Colombia,COL,2013,26.213
Colombia,COL,2014,25.133
Colombia,COL,2015,24.863
Colombia,COL,2016,24.545
Colombia,COL,2017,29.111
Colombia,COL,2018,28.494
Colombia,COL,2019,24.986
Croatia,HRV,1990,10.594
Croatia,HRV,1991,19.505
Croatia,HRV,1992,15.171
Croatia,HRV,1993,15.257
Croatia,HRV,1994,18.017
Croatia,HRV,1995,18.199
Croatia,HRV,1996,23.558
Croatia,HRV,1997,17.619
Croatia,HRV,1998,17.146
Croatia,HRV,1999,20.201
Croatia,HRV,2000,18.794
Croatia,HRV,2001,19.77
Croatia,HRV,2002,15.95
Croatia,HRV,2003,14.113
Croatia,HRV,2004,18.92
Croatia,HRV,2005,17.575
Croatia,HRV,2006,16.636
Croatia,HRV,2007,11.702
Croatia,HRV,2008,14.431
Croatia,HRV,2009,18.668
Croatia,HRV,2010,22.724
Croatia,HRV,2011,14.652
Croatia,HRV,2012,15.637
Croatia,HRV,2013,25.134
Croatia,HRV,2014,26.817
Croatia,HRV,2015,21.189
Croatia,HRV,2016,22.58
Croatia,HRV,2017,19.055
Croatia,HRV,2018,24.868
Croatia,HRV,2019,21.537
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.007
Cyprus,CYP,2005,0.007
Cyprus,CYP,2006,0.012
Cyprus,CYP,2007,0.026
Cyprus,CYP,2008,0.113
Cyprus,CYP,2009,0.235
Cyprus,CYP,2010,0.559
Cyprus,CYP,2011,1.37
Cyprus,CYP,2012,2.099
Cyprus,CYP,2013,2.969
Cyprus,CYP,2014,2.868
Cyprus,CYP,2015,3.476
Cyprus,CYP,2016,3.375
Cyprus,CYP,2017,3.348
Cyprus,CYP,2018,3.562
Cyprus,CYP,2019,3.926
Czechia,CZE,1965,1.324
Czechia,CZE,1966,1.238
Czechia,CZE,1967,1.134
Czechia,CZE,1968,0.841
Czechia,CZE,1969,0.658
Czechia,CZE,1970,0.902
Czechia,CZE,1971,0.606
Czechia,CZE,1972,0.631
Czechia,CZE,1973,0.536
Czechia,CZE,1974,0.893
Czechia,CZE,1975,0.856
Czechia,CZE,1976,0.663
Czechia,CZE,1977,0.874
Czechia,CZE,1978,0.802
Czechia,CZE,1979,0.994
Czechia,CZE,1980,1.074
Czechia,CZE,1981,0.93
Czechia,CZE,1982,0.762
Czechia,CZE,1983,0.754
Czechia,CZE,1984,0.572
Czechia,CZE,1985,0.736
Czechia,CZE,1986,0.817
Czechia,CZE,1987,1.05
Czechia,CZE,1988,0.89
Czechia,CZE,1989,0.719
Czechia,CZE,1990,0.591
Czechia,CZE,1991,0.609
Czechia,CZE,1992,0.808
Czechia,CZE,1993,0.924
Czechia,CZE,1994,1.056
Czechia,CZE,1995,1.379
